Setting in design.json,Setting in MakeHuman,Comment,Example
skin,setMaterial,The name of a file in data/skin/*/ without the extension,young_caucasian_female2
eyes,setProxy,The name of a file in data/eyes/*/ without the extension,high-poly
teeth,setProxy,The name of a file in data/teeth/*/ without the extension,teeth_shape01
hair,setProxy,The name of a file in data/hair/*/ without the extension,long01
eyebrows,setProxy,The name of a file in data/eyebrows/*/ without the extension,eyebrows001
eyelashes,setProxy,The name of a file in data/eyelashes/*/ without the extension,eyelashes01
tongue,setProxy,The name of a file in data/tongue/*/ without the extension,tongue01
clothes,setProxy,Array of names of a files in data/clothes/*/ without the extension,"[""male_elegantsuit01"",""fedora""]"
african,setAfrican," 0 .. 1, default 0.33, must add to 1 with other race options",
age,head/head-age-decr|incr,"-1 .. 1, default 0",
,setAge,"0 .. 1, default 0.5",
angle,head/head-angle-in|out,"-1 .. 1, default 0",
ankle_circum,measure/measure-ankle-circ-decr|incr,"-1 .. 1, default 0",
asian,setAsian," 0 .. 1, default 0.33, must add to 1 with other race options",
breast_firmness,breast/BreastFirmness,"0 .. 1, default 0.5",
breast_size,breast/BreastSize,"0 .. 1, default 0.5",
breast_volume,breast/breast-volume-vert-down|up,"-1 .. 1, default 0",
bust_circum,measure/measure-bust-circ-decr|incr,"-1 .. 1, default 0",
buttocks_volume,buttocks/buttocks-volume-decr|incr,"-1 .. 1, default 0",
calf_circum,measure/measure-calf-circ-decr|incr,"-1 .. 1, default 0",
caucasian,setCaucasian," 0 .. 1, default 0.33, must add to 1 with other race options",
cheek_inner_volume,cheek/l-cheek-inner-decr|incr,"-1 .. 1, default 0",
,cheek/r-cheek-inner-decr|incr,"-1 .. 1, default 0",
cheek_outer_volume,cheek/l-cheek-volume-decr|incr,"-1 .. 1, default 0",
,cheek/r-cheek-volume-decr|incr,"-1 .. 1, default 0",
cleft_chin,chin/chin-cleft-decr|incr,"-1 .. 1, default 0",
compression,nose/nose-compression-compress|uncompress,"-1 .. 1, default 0",
cranic_shape,forehead/forehead-nubian-decr|incr,"-1 .. 1, default 0",
cupids_bow_shape,mouth/mouth-cupidsbow-decr|incr,"-1 .. 1, default 0",
cupids_bow_width,mouth/mouth-cupidsbow-width-decr|incr,"-1 .. 1, default 0",
curve,nose/nose-curve-concave|convex,"-1 .. 1, default 0",
diamond,head/head-diamond,"0 .. 1, default 0.5",
dimples,mouth/mouth-dimples-in|out,"-1 .. 1, default 0",
dorsi_muscle,torso/torso-muscle-dorsi-decr|incr,"-1 .. 1, default 0",
double_neck,neck/neck-double-decr|incr,"-1 .. 1, default 0",
ear_flapped,ears/r-ear-flap-decr|incr,"-1 .. 1, default 0",
ear_rotation,ears/l-ear-rot-backward|forward,"-1 .. 1, default 0",
,ears/r-ear-rot-backward|forward,"-1 .. 1, default 0",
ear_shape_pointed_triangle,ears/l-ear-shape-pointed|triangle,"-1 .. 1, default 0",
,ears/r-ear-shape-pointed|triangle,"-1 .. 1, default 0",
ear_shape_squared_round,ears/r-ear-shape-square|round,"-1 .. 1, default 0",
,ears/l-ear-shape-square|round,"-1 .. 1, default 0",
ear_wing_shaped,ears/r-ear-wing-decr|incr,"-1 .. 1, default 0",
,ears/l-ear-wing-decr|incr,"-1 .. 1, default 0",
eye_bag_distorsion,eyes/l-eye-bag-in|out,"-1 .. 1, default 0",
,eyes/r-eye-bag-in|out,"-1 .. 1, default 0",
eye_bag_height,eyes/r-eye-bag-height-decr|incr,"-1 .. 1, default 0",
,eyes/l-eye-bag-height-decr|incr,"-1 .. 1, default 0",
eye_bag_volume,eyes/l-eye-bag-decr|incr,"-1 .. 1, default 0",
,eyes/r-eye-bag-decr|incr,"-1 .. 1, default 0",
eye_epicanthus,eyes/r-eye-epicanthus-in|out,"-1 .. 1, default 0",
,eyes/l-eye-epicanthus-in|out,"-1 .. 1, default 0",
eyebrows_angle,eyebrows/eyebrows-angle-down|up,"-1 .. 1, default 0",
eyebrows_bulge,eyebrows/eyebrows-trans-backward|forward,"-1 .. 1, default 0",
eyefold_angle,eyes/l-eye-eyefold-angle-down|up,"-1 .. 1, default 0",
,eyes/r-eye-eyefold-angle-down|up,"-1 .. 1, default 0",
eyefold_position,eyes/r-eye-eyefold-down|up,"-1 .. 1, default 0",
,eyes/l-eye-eyefold-down|up,"-1 .. 1, default 0",
eyefold_volume,eyes/r-eye-eyefold-concave|convex,"-1 .. 1, default 0",
,eyes/l-eye-eyefold-concave|convex,"-1 .. 1, default 0",
fingers_diameter,armslegs/r-hand-fingers-diameter-decr|incr,"-1 .. 1, default 0",
,armslegs/l-hand-fingers-diameter-decr|incr,"-1 .. 1, default 0",
fingers_distance,armslegs/r-hand-fingers-distance-decr|incr,"-1 .. 1, default 0",
,armslegs/l-hand-fingers-distance-decr|incr,"-1 .. 1, default 0",
fingers_length,armslegs/r-hand-fingers-length-decr|incr,"-1 .. 1, default 0",
,armslegs/l-hand-fingers-length-decr|incr,"-1 .. 1, default 0",
forehead_bulge,forehead/forehead-trans-backward|forward,"-1 .. 1, default 0",
front_chest_dist,measure/measure-frontchest-dist-decr|incr,"-1 .. 1, default 0",
gender,setGender,"0 .. 1, default 0.5",
genital_volume,pelvis/bulge-decr|incr,"-1 .. 1, default 0",
greek,nose/nose-greek-decr|incr,"-1 .. 1, default 0",
hand_position,armslegs/l-hand-trans-in|out,"-1 .. 1, default 0",
,armslegs/r-hand-trans-in|out,"-1 .. 1, default 0",
head_fat,head/head-fat-decr|incr,"-1 .. 1, default 0",
height,setHeight,"0 .. 1, default 0.5",
hips_circum,measure/measure-hips-circ-decr|incr,"-1 .. 1, default 0",
horizontal_distance,breast/breast-dist-decr|incr,"-1 .. 1, default 0",
hump,nose/nose-hump-decr|incr,"-1 .. 1, default 0",
invertedtriangular,head/head-invertedtriangular,"0 .. 1, default 0.5",
knee_circ,measure/measure-knee-circ-decr|incr,"-1 .. 1, default 0",
laugh_lines,mouth/mouth-laugh-lines-in|out,"-1 .. 1, default 0",
lowerarm_length,armslegs/l-lowerarm-scale-horiz-decr|incr,"-1 .. 1, default 0",
,measure/measure-lowerarm-length-decr|incr,"-1 .. 1, default 0",
,armslegs/r-lowerarm-scale-horiz-decr|incr,"-1 .. 1, default 0",
lowerarm_muscles,armslegs/r-lowerarm-muscle-decr|incr,"-1 .. 1, default 0",
,armslegs/l-lowerarm-muscle-decr|incr,"-1 .. 1, default 0",
lowerarm_skinny_fat,armslegs/r-lowerarm-fat-decr|incr,"-1 .. 1, default 0",
lowerarm_thickness_1,armslegs/l-lowerarm-scale-depth-decr|incr,"-1 .. 1, default 0",
,armslegs/r-lowerarm-scale-depth-decr|incr,"-1 .. 1, default 0",
lowerarm_thickness_2,armslegs/l-lowerarm-scale-vert-decr|incr,"-1 .. 1, default 0",
,armslegs/r-lowerarm-scale-vert-decr|incr,"-1 .. 1, default 0",
lowerleg_height,measure/measure-lowerleg-height-decr|incr,"-1 .. 1, default 0",
lowerleg_muscle,armslegs/r-lowerleg-muscle-decr|incr,"-1 .. 1, default 0",
,armslegs/l-lowerleg-muscle-decr|incr,"-1 .. 1, default 0",
lowerleg_scale_depth,armslegs/r-lowerleg-scale-depth-decr|incr,"-1 .. 1, default 0",
